COUNTRY;Pb;Cu;Cd;Zn;Te;Au;Ni;Ti;Fe;In;Cr;Ag;Mo;Zr;Sn;W;Mn;Al;Ta;Si;Hf;Pd;Sb;Ge;Bi;As;La;Co;Sm;V;Y;Pt;Hg;Nb;Mg
Australia;0.0979955456570156;0.0168728908886389;0.00993983782369867;0.090311986863711;0;0.101973684210526;0.0448681996634885;0.0654878847413229;0.377841818764009;0;0;0.0465296626599457;0.0019040365575019;0.3125;0.0313037495700034;0.0102682582466949;0.150829562594268;0.0220718069452619;0.0178571428571429;0;0.3125;0;0.0276057419943348;0;0;0;0.0509453186912714;0.0200610553859573;0.0509453186912714;0;0.0509453186912714;0;0;0;0
Canada;0;0.0116235470566179;0.0470834423227832;0;0.0419906687402799;0.0657894736842105;0.0504767246214246;0.0545732372844357;0.0268972142170989;0.0374873353596758;0;0;0.00380807311500381;0;0;0;0;0.0441436138905238;0;0.00556606924190137;0;0.0774818401937046;0.000024004993038552;0.25;0;0;0;0.00915830789358918;0;0;0;0.0314285714285714;0;0.0840134421507441;0
United States;0.0601336302895323;0.0333708286464192;0.00575464295056239;0.061576354679803;0;0.0559210526315789;0.00476724621424565;0.0218292949137743;0.0179314761447326;0;0;0.0387747188832881;0.12947448591013;0.0625;0;0;0;0.011035903472631;0;0.00556606924190137;0.0625;0.0474576271186441;0;0.1;0;0;0.121702705762482;0.00218054949847362;0.121702705762482;0;0.121702705762482;0.0165714285714286;0;0;0.0505561172901921
China;0.423162583518931;0.449943757030371;0.235417211613916;0.328407224958949;0.668740279937792;0.121710526315789;0.0308468872686483;0.338354071163501;0.10886967659302;0.658561296859169;0;0.13183404420318;0.418888042650419;0.0875;0.233918128654971;0.808625336927224;0.0372046254399196;0.603296056503826;0.0328073089700997;0.734721139930981;0.0875;0;0.48009986077104;0.26;0.816326530612245;0.398406374501992;0.679270915883618;0;0.679270915883618;0.657004830917874;0.679270915883618;0;0.863557858376511;0;0.839231547017189
Russia;0.044543429844098;0.0374953130858643;0.0261574679571018;0.0254515599343186;0.116640746500778;0.101973684210526;0.0560852495793606;0;0.037143772014089;0.00506585612968592;0;0.0465296626599457;0.00647372429550648;0;0.00928792569659443;0.0256706456167373;0;0.0559152442613302;0.00830564784053156;0.069019258599577;0;0.445520581113801;0.0516107350328868;0;0;0.00332005312084993;0.00735876825540586;0.0383776711731356;0.00735876825540586;0.193236714975845;0.00735876825540586;0.131428571428571;0;0.00528084493518963;0.0202224469160768
Mexico;0.0601336302895323;0.0179977502812148;0.0287732147528119;0.0566502463054187;0;0.0394736842105263;0;0;0.00486711495357028;0;0;0.248158200853044;0.0571210967250571;0;0;0;0.0110608345902464;0;0;0;0;0;0.00840174756349321;0;0;0;0;0;0;0;0;0;0;0;0
Peru;0.0556792873051225;0.0149981252343457;0.0206643996861104;0.114942528735632;0;0.0296052631578947;0;0;0.00832532821005444;0;0;0.120201628538193;0.140898705255141;0;0.0791193670450636;0;0;0;0;0;0;0;0;0;0;0.448207171314741;0;0;0;0;0;0;0.0259067357512953;0;0
South Africa;0;0;0;0.0188834154351396;0.00777604976671851;0.0328947368421053;0;0.120061122025759;0.0249759846301633;0;0.434782608695652;0;0;0.25;0;0;0.361990950226244;0;0;0;0.25;0.343825665859564;0;0;0;0;0;0;0;0.0879227053140097;0;0.685714285714286;0;0;0
Brazil;0;0;0.0261574679571018;0;0;0.0197368421052631;0.0249579360628155;0.00589390962671906;0.179314761447326;0;0;0;0;0;0.0619195046439628;0;0.0311714429361488;0.0161859917598587;0.149501661129568;0.0434153400868307;0;0;0;0;0;0;0.000226423638627873;0;0.000226423638627873;0.0618357487922705;0.000226423638627873;0;0;0.900144023043687;0.0222446916076845
Chile;0;0.0749906261717285;0;0;0;0;0;0;0.00704450848543068;0;0;0.0542846064366033;0.175171363290175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kazakhstan;0;0.0164979377577803;0;0.0270935960591133;0;0.0427631578947368;0;0;0.00563560678834454;0;0.144927536231884;0.0383869716944552;0;0;0;0;0.0065359477124183;0;0;0.0139151731047534;0;0;0.0036007489557828;0;0.00816326530612245;0;0;0;0;0;0;0;0;0;0.0252780586450961
Philippines;0;0;0;0;0;0;0.112170499158721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0165721761883995;0;0;0;0;0;0;0
Argentina;0;0;0;0;0;0;0;0;0;0;0;0.0352849941837922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Indonesia;0;0.00749906261717285;0;0;0;0.0361842105263158;0.504767246214246;0;0;0;0;0;0;0.05625;0.178878568971448;0;0;0;0;0;0.05625;0;0;0;0;0;0;0.0741386829481029;0;0;0;0;0;0;0
Sweden;0.0155902004454343;0;0;0.0180623973727422;0.0388802488335925;0;0;0;0.0172910662824208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zimbabwe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0726392251815981;0;0;0;0;0;0;0;0;0;0.108571428571429;0;0;0
Democratic Republic of the Congo;0;0.0712410948631421;0.00575464295056239;0;0;0;0;0;0;0;0;0;0;0;0.065359477124183;0;0;0;0.406976744186046;0;0;0;0;0;0;0;0;0.741386829481029;0;0;0;0;0;0.00648103696591455;0
Finland;0;0;0;0;0;0;0;0;0;0;0.0483091787439614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Namibia;0;0;0.0088935391054146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Turkey;0.0155902004454343;0;0;0;0;0;0;0;0.0064040986231188;0;0.144927536231884;0;0;0;0;0;0;0;0;0;0;0;0.0720149791156561;0;0;0;0;0.0122110771914522;0;0;0;0;0;0;0.0151668351870576
Ghana;0;0;0.00993983782369867;0;0;0.0296052631578947;0;0;0;0;0;0;0;0;0;0;0.0422322775263952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
India;0.0489977728285078;0;0.0060162176301334;0.0706075533661741;0;0;0;0.0243396638288583;0.10886967659302;0;0.101449275362319;0.0267545560294688;0;0;0;0;0.0361990950226244;0.0603296056503826;0;0.00667928309028164;0;0;0;0;0;0;0.00820785690026039;0;0.00820785690026039;0;0.00820785690026039;0;0;0;0
Mongolia;0;0;0.104629871828407;0;0;0;0;0;0;0;0;0;0.0118050266565118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ecuador;0;0;0.0196181009678263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;0;0;0.0470834423227832;0;0;0.0197368421052631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tanzania;0;0;0;0;0;0.0197368421052631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Papua New Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012647187091147;0;0;0;0;0;0;0
Bolivia;0.0200445434298441;0;0;0.0402298850574713;0;0;0;0;0;0;0;0.0465296626599457;0;0;0.0619195046439628;0.0192529842125529;0;0;0;0;0;0;0.036007489557828;0;0.00204081632653061;0;0;0;0;0;0;0;0;0;0
Colombia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kyrgyzstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0192529842125529;0;0;0;0.00623399755092953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mali;0;0;0;0;0;0.0197368421052631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zambia;0;0.0142482189726284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saudi Arabia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0397292525014715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Venezuela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uzbekistan;0;0;0.00575464295056239;0;0.0046656298600311;0.0328947368421053;0;0;0;0.00101317122593718;0;0;0.00647372429550648;0;0;0;0;0;0;0;0;0;0.252532526765567;0;0;0;0;0;0;0;0;0;0.00518134715025907;0;0
Botswana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cote d'Ivoire;0;0;0.0088935391054146;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0196078431372549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0139555167902311;0;0;0;0;0;0;0
Guyana;0;0;0.00993983782369867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Portugal;0;0;0.0060162176301334;0;0;0;0;0;0;0;0;0;0;0;0;0.00641766140418432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vietnam;0;0;0.104629871828407;0;0;0;0;0.015280506439642;0;0;0;0;0;0;0.0182318541451668;0.0449236298292902;0.00804424333836098;0;0;0;0;0;0.003000624129819;0;0;0;0.00169817728970905;0;0.00169817728970905;0;0.00169817728970905;0;0;0;0
Iran;0.0111358574610245;0;0.0196181009678263;0;0;0;0;0;0.032020493115594;0;0;0;0.0140898705255141;0;0;0;0;0;0;0;0;0;0.00600124825963801;0;0;0;0;0;0;0;0;0;0;0;0.00505561172901921
Serbia;0;0;0.0470834423227832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Armenia;0;0;0;0;0;0;0;0;0;0;0;0;0.0297029702970297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nicaragua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Algeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;0;0;0.0088935391054146;0;0.0046656298600311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00255102040816327;0;0;0;0;0;0;0;0;0;0
Greenland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malaysia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.020983832129343;0;0.012569130216189;0.0144202472042378;0;0.00890571078704219;0;0;0;0;0;0;0.000226423638627873;0;0.000226423638627873;0;0.000226423638627873;0;0;0;0
Niger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nigeria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0278637770897833;0;0;0;0.0456810631229236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ukraine;0;0;0;0;0;0;0;0.0120061122025759;0.0140890169708614;0;0;0;0;0;0;0;0.016088486676722;0;0;0.000222642769676055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominican Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tajikistan;0.0111358574610245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0863557858376511;0;0
Cameroon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fiji;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Honduras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mauritania;0;0;0;0;0;0;0;0;0.00518731988472622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New Zealand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Egypt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guatemala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000288059916462624;0;0;0;0;0;0;0;0;0;0;0;0
Morocco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.132802124833997;0;0;0;0;0;0;0.00172711571675302;0;0
Norway;0;0;0.00993983782369867;0;0;0;0;0.0469329840646147;0;0;0;0;0;0;0;0;0;0.0298705120659211;0;0.0523210508738729;0;0;0;0;0;0;0;0;0;0;0;0;0.0172711571675302;0;0
Panama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Romania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovakia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greece;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kenya;0;0;0;0;0;0;0;0.0216110019646365;0;0;0;0;0;0.01875;0;0;0;0;0;0;0.01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Laos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00791193670450636;0;0;0;0;0;0;0;0.00264054923424072;0;0.102040816326531;0;0;0;0;0;0;0;0;0;0
Liberia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;0;0;0;0;0;0;0;0.0379829731499673;0;0;0;0;0;0.03125;0;0;0;0;0;0;0.03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sierra Leone;0;0;0;0;0;0;0;0.0120061122025759;0;0;0;0;0;0.01875;0;0;0;0;0;0;0.01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gabon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.231271995977878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mozambique;0;0;0;0;0;0;0;0.175616677581314;0;0;0;0;0;0.05625;0;0;0;0;0;0;0.05625;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myanmar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.185758513931889;0;0.0105580693815988;0;0;0;0;0;0.0552114839886696;0;0;0;0.10755122834824;0;0.10755122834824;0;0.10755122834824;0;0;0;0
New Caledonia;0;0;0;0;0;0;0.0644980370162647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0130832969908417;0;0;0;0;0;0;0
Poland;0;0.0221222347206599;0.0060162176301334;0;0;0;0;0;0;0;0;0.0504071345482745;0;0;0;0;0;0;0;0.00556606924190137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
United Kingdom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azerbaijan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Czech Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Madagascar;0;0;0;0;0;0;0;0.0349268718620389;0;0;0;0;0;0.01875;0;0;0;0;0;0;0.01875;0;0;0;0;0;0.00271708366353447;0.0174443959877889;0.00271708366353447;0;0.00271708366353447;0;0;0;0
Malawi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Republic of Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Costa Rica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Salvador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eritrea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ethiopia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Georgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00804424333836098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pakistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000960199721542081;0;0;0;0;0;0;0;0;0;0;0;0
South Korea;0;0.0232470941132358;0.104629871828407;0;0;0;0;0;0;0.202634245187437;0;0;0.00152322924600152;0;0;0;0;0;0;0;0;0;0;0;0.0433673469387755;0;0;0;0;0;0;0;0;0;0
Sudan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Suriname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thailand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0200950979282237;0;0.0200950979282237;0;0.0200950979282237;0;0;0;0
Germany;0;0.0228721409823772;0.0196181009678263;0;0;0;0;0;0;0.0182370820668693;0;0;0;0;0;0;0;0;0;0.00667928309028164;0;0;0;0.39;0;0.0166002656042497;0;0;0;0;0;0;0;0;0
Haiti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Italy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afghanistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0116801437556155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
French Guiana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hungary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Macedonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solomon Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0149501661129568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
France;0;0;0;0;0;0;0;0;0;0.0121580547112462;0;0;0;0;0;0;0;0;0;0.012245352332183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jamaica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
North Korea;0;0;0;0;0;0;0;0;0;0;0;0;0.00266565118050267;0;0;0.0218200487742267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uruguay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yemen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosnia and Herzegovina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cambodia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central African Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paraguay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sri Lanka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Togo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tunisia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uganda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyprus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Japan;0;0.0562429696287964;0.0470834423227832;0;0.116640746500778;0;0;0;0;0.0648429584599797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0255102040816327;0.000664010624169987;0;0;0;0;0;0;0;0;0
Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nepal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00890571078704219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Puerto Rico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rwanda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0130718954248366;0.0179694519317161;0;0;0.215946843853821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00228036485837734;0
Swaziland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Other countries;0.135857461024499;0.108736407949006;0;0.147783251231527;0;0.230263157894737;0.106561974200785;0.0130975769482646;0.0172910662824208;0;0.1256038647343;0.116324156649864;0;0.0875;0.00447196422428621;0.0141188550892055;0.0165912518853695;0.103001765744556;0.10797342192691;0.0200378492708449;0.0875;0.0130750605326877;0;0;0;0;0;0.0287832533798517;0;0;0;0.0262857142857143;0;0.00180028804608737;0.0222446916076845
