Tag initial;Nom commercial;Famille;Composition;Normalized Composition;stoich_entropy;avg_radius;std_radius;max_r_ratio;min_r_ratio;delta;avg_eneg;std_eneg;range_eneg;avg_weight;std_weight;unique_elements;avg_Z;std_Z;avg_VEC;std_VEC;avg_d;std_d;frac_d;avg_s;avg_p;avg_f;std_s;std_p;std_f;avg_d_shell_n;std_d_shell_n;avg_group;std_group;avg_period;std_period;avg_mendeleev_no;std_mendeleev_no;avg_en_allen;std_en_allen;avg_IE1;std_IE1;avg_EA;std_EA;avg_melting_point;std_melting_point;DeltaH_mix;d_virt;Formation Enthalpy (eV/atom);Decomposition Energy Per Atom MP (eV/atom);Melting Point (K);Shear Modulus (GPa);Bulk Modulus (GPa);Density;Creep (LMP);Log_10(K_A);G/B ratio;Omega;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;SR
Cast Alloy 625_0;InconelÃ‚Â 625;Ni-based;Al0.00438C0.00983Cr0.24527Fe0.02114Mn0.00064Mo0.05353Nb0.02478Ni0.63374Si0.00420Ti0.00247;Al0.00438C0.00983Cr0.24527Fe0.02114Mn0.00064Mo0.05353Nb0.02478Ni0.63376Si0.0042Ti0.00247;1.08;136.0;7.57;1.06;0.513;0.0555;1.86;0.152;1.01;59.1;12.0;10.0;27.7;5.03;8.51;2.02;7.58;2.63;0.891;7.78;12.3;0.0;0.682;1.97;0.0;3.02;0.274;8.69;2.03;4.05;0.352;61.9;8.22;10.6;0.939;7.41;0.56;0.982;0.257;1910.0;336.0;-0.067;38.7;-0.20201531;-0.008441905;1638.4774;100.754135;209.22131;8.545151;30.234892;0.62302744;0.48156726;0.75507003;0.76955765;0.55744416;0.41377443;0.0812972938789568;0.8866043544213023;0.66470385;0.23635148;0.15127319;0.2302629962698383;0.22338381;8.72149726944975
Cast Alloy 718_0;InconelÃ‚Â 718;Ni-based;Al0.01283B0.00032C0.00240Cr0.21088Fe0.19117Mn0.00210Mo0.01804Nb0.03230Ni0.51620Si0.00411Ti0.00964;Al0.01283B0.00032C0.0024Cr0.21088Fe0.19117Mn0.0021Mo0.01804Nb0.0323Ni0.51621Si0.00411Ti0.00964;1.32;137.0;5.05;1.06;0.51;0.0368;1.83;0.126;1.01;57.7;9.84;11.0;27.1;4.2;8.35;1.93;7.08;2.34;0.849;7.79;12.2;0.0;0.575;1.56;0.0;2.99;0.226;8.54;1.92;4.03;0.278;61.3;7.8;10.6;0.801;7.45;0.492;0.824;0.398;1880.0;295.0;-0.322;37.2;-0.24430384;-0.0056630448;1663.9651;87.5614;193.97786;8.2485285;30.467087;1.1454207;0.45139894;0.7749883;0.7763489;0.5678968;0.43794423;0.162320734911651;0.7646017092633773;0.72829926;0.09345381;0.16450839;0.5137238611465352;0.091884315;8.72149726944975
Inconel 700_D70_0;InconelÃ‚Â 700;Ni-based;Al0.06227C0.00560Co0.27083Cr0.15402Fe0.00702Mo0.02276Ni0.44826Ti0.02925;Al0.06227C0.0056Co0.27083Cr0.15402Fe0.00702Mo0.02276Ni0.44825Ti0.02925;1.43;135.0;6.07;1.07;0.518;0.0449;1.84;0.137;1.01;56.0;10.5;8.0;26.2;4.66;8.36;2.18;6.69;2.55;0.8;7.72;11.8;0.0;0.662;1.7;0.0;2.82;0.248;9.04;1.98;3.95;0.324;63.4;8.33;10.6;0.827;7.45;0.607;0.855;0.299;1780.0;316.0;-0.109;37.6;-0.26507434;-0.006019838;1590.8124;98.37338;191.87643;8.297255;29.978912;0.8351467;0.5126913;0.7397663;0.761905;0.53776646;0.4339504;0.1559624687045185;0.979647731065278;0.5922047;0.054477736;0.14170887;0.6683583030882436;0.15838505;6.715842291047275
Inconel 738lc_H88_0;InconelÃ‚Â 738Ã‚Â LC;Ni-based;Al0.07191Co0.08230Cr0.17669Mo0.01071Nb0.00553Ni0.59890Ta0.00536Ti0.04053W0.00807;Al0.07191Co0.0823Cr0.17669Mo0.01071Nb0.00553Ni0.5989Ta0.00536Ti0.04053W0.00807;1.28;136.0;3.8;1.07;0.922;0.028;1.82;0.135;0.66;57.1;17.6;9.0;26.7;7.06;8.52;2.69;6.89;3.24;0.808;7.75;11.9;0.188;0.795;2.08;1.61;2.83;0.335;9.05;2.17;3.97;0.376;63.5;9.02;10.6;0.865;7.34;0.532;0.92;0.313;1810.0;377.0;-0.289;38.0;-0.34390354;-0.009817921;1698.7186;97.69371;197.28992;8.261697;31.050888;1.2080781;0.49517843;0.545007;0.7927882;0.5820508;0.43686408;0.07757184495931;0.4249141818290083;0.6337216;0.0042476067;0.058692105;0.4592932569976525;0.081948966;10.402248784022294
Inconel X-750_D70_0;InconelÃ‚Â X?750;Ni-based;Al0.01680C0.00189Cr0.15915Fe0.06597Nb0.00488Ni0.72290Ti0.02842;Al0.0168C0.00189Cr0.15915Fe0.06597Nb0.00488Ni0.72289Ti0.02842;0.914;136.0;3.93;1.07;0.515;0.0289;1.85;0.115;1.01;56.7;5.8;7.0;26.8;2.83;8.91;1.91;7.1;1.81;0.797;7.8;11.9;0.0;0.473;0.883;0.0;2.95;0.0892;9.09;1.82;3.98;0.17;63.4;7.41;10.8;0.731;7.47;0.436;0.968;0.334;1800.0;211.0;-0.27;37.4;-0.17964551;-0.015270383;1638.2161;91.15839;189.68816;8.25711;30.765917;1.4501953;0.48056972;0.71846944;0.7848774;0.5573367;0.4372403;0.0088729176531678;0.4581433908687111;0.66692346;0.35192886;0.12924477;0.1100546651103346;0.052134253;7.413551878819479
IN 100_D70_0;IN?100;Ni-based;Al0.11202C0.00854Co0.13738Cr0.10173Mo0.01744Ni0.54909Ti0.06427V0.00954;Al0.11202C0.00854Co0.13738Cr0.10173Mo0.01744Ni0.54908Ti0.06427V0.00954;1.41;134.0;7.26;1.08;0.521;0.0541;1.83;0.156;1.01;54.0;12.1;8.0;25.4;5.5;8.12;2.62;6.28;3.04;0.774;7.66;11.5;0.0;0.766;2.0;0.0;2.66;0.366;9.32;2.3;3.89;0.389;64.7;9.81;10.6;0.996;7.36;0.693;0.876;0.346;1710.0;347.0;-0.254;37.0;-0.3487391;-0.005418984;1587.2467;94.109695;181.8428;7.928423;30.08292;0.94527537;0.51753324;0.55318475;0.7650353;0.53628886;0.46435863;0.3609541069296488;0.9234698514260914;0.5804614;0.0035392505;0.06099229;0.6402598535135581;0.13118169;7.45978930001596
Waspalloy_D70_0;Waspaloy;Ni-based;Al0.02951C0.00237Co0.12545Cr0.20343Mo0.02489Ni0.57990Ti0.03445;Al0.02951C0.00237Co0.12545Cr0.20343Mo0.02489Ni0.5799Ti0.03445;1.23;136.0;4.52;1.07;0.515;0.0332;1.84;0.134;1.01;56.9;8.9;7.0;26.7;3.95;8.53;2.1;6.98;2.33;0.818;7.75;12.0;0.0;0.569;1.37;0.0;2.93;0.182;8.85;2.0;3.99;0.253;62.5;8.2;10.6;0.827;7.41;0.502;0.926;0.293;1830.0;289.0;-0.333;37.6;-0.26322556;-0.0013931431;1653.5115;98.41069;193.58519;8.332429;30.4031;0.6887894;0.5083586;0.6660266;0.7744917;0.56361645;0.4310726;0.073984973504979;0.6258319795257067;0.60262483;0.057286847;0.102489255;0.3944372285129094;0.20139812;6.254581893462544
Alloy 713C_D70_0;AlloyÃ‚Â 713Ã‚Â C;Ni-based;Al0.13719C0.00725Cr0.13191Mo0.02667Nb0.01230Ni0.67558Ti0.00910;Al0.13719C0.00725Cr0.13191Mo0.02667Nb0.0123Ni0.67558Ti0.0091;1.03;134.0;7.16;1.08;0.521;0.0533;1.84;0.151;1.01;54.4;13.9;7.0;25.7;6.24;8.25;2.66;6.65;3.27;0.807;7.6;11.5;0.0;0.824;2.3;0.0;2.61;0.45;9.69;2.1;3.89;0.439;66.2;9.09;10.6;0.888;7.29;0.688;0.969;0.29;1710.0;404.0;0.185;37.4;-0.3182116;-0.005851852;1607.2104;96.07622;182.37425;8.106082;29.980244;-0.83329874;0.526808;0.44843683;0.76194525;0.54455256;0.4496643;0.2363406252779401;0.941667222126162;0.5577215;0.010648534;0.03704705;0.1872839200786505;0.8411217;7.34004660381626
Alloy 713LC (07)_M68_0;AlloyÃ‚Â 713Ã‚Â LC;Ni-based;Al0.12022B0.00046C0.00275Cr0.13027Fe0.00197Mo0.02556Nb0.01260Ni0.69693Si0.00098Ti0.00827;Al0.12022B0.00046C0.00275Cr0.13027Fe0.00197Mo0.02556Nb0.0126Ni0.69692Si0.00098Ti0.00827;0.999;135.0;5.71;1.08;0.52;0.0424;1.84;0.14;1.01;55.1;13.2;10.0;26.1;5.88;8.39;2.56;6.81;3.12;0.812;7.65;11.6;0.0;0.764;2.14;0.0;2.66;0.403;9.64;2.03;3.91;0.405;66.0;8.73;10.7;0.824;7.31;0.614;0.981;0.284;1730.0;389.0;0.185;37.5;-0.28165162;-0.007159883;1591.5453;93.315;182.96466;8.257355;29.904207;-0.91874987;0.51001656;0.4866083;0.75963897;0.53807;0.4372202;0.1379833316185805;0.9351016345423708;0.5986479;0.03403487;0.044490945;0.1636467554151883;0.8626528;8.118241765854531
B-1900_D70_0;B?1900;Ni-based;Al0.12432C0.00426Co0.09454Cr0.08638Mo0.03377Ni0.63070Ta0.01414Ti0.01188;Al0.12432C0.00426Co0.09454Cr0.08638Mo0.03377Ni0.63071Ta0.01414Ti0.01188;1.23;134.0;6.11;1.08;0.521;0.0455;1.85;0.144;1.05;56.9;19.9;8.0;26.6;8.08;8.59;2.8;6.99;3.65;0.815;7.74;11.7;0.198;0.918;2.59;1.65;2.68;0.471;9.67;1.97;3.93;0.476;66.1;8.46;10.6;0.87;7.37;0.641;0.939;0.302;1730.0;421.0;0.0756;38.9;-0.3031196;-0.008302499;1689.0974;97.33107;182.08191;8.396957;29.952135;-0.9884115;0.53454554;0.5908171;0.76109445;0.57814485;0.42580542;0.055184704010624;0.9867160821086316;0.5385595;0.017563932;0.07270142;0.3944372285129094;0.8783421;7.17165605832699
B-1900+Hf A_J86_0;B?1900Ã‚Â +Ã‚Â Hf;Ni-based;Al0.12679C0.00510Co0.09629Cr0.08769Hf0.00480Mo0.03630Ni0.62495Ti0.01790Zr0.00018;Al0.12679C0.0051Co0.09629Cr0.08769Hf0.0048Mo0.0363Ni0.62495Ti0.0179Zr0.00018;1.24;134.0;6.49;1.15;0.521;0.0483;1.85;0.148;1.25;55.6;16.0;9.0;26.2;6.79;8.42;2.63;6.8;3.35;0.808;7.69;11.6;0.0672;0.835;2.35;0.968;2.65;0.44;9.67;2.0;3.91;0.441;66.1;8.64;10.6;0.889;7.36;0.657;0.935;0.308;1710.0;389.0;0.078;38.1;-0.3022421;-0.0056556202;1614.9761;96.218475;177.94794;8.270689;30.088827;-0.837699;0.5407114;0.5711367;0.76521224;0.54776067;0.43612683;0.1216005358186717;0.9998074482279724;0.52320486;0.018066244;0.06634018;0.4070732481604469;0.84229416;5.443834382785487
Mar-M 200_D70_0;MAR?MÃ‚Â 200;Ni-based;Al0.09921C0.00792Co0.09589Cr0.10182Nb0.00704Ni0.62471Ti0.02361W0.03980;Al0.09921C0.00792Co0.09589Cr0.10182Nb0.00704Ni0.62471Ti0.02361W0.0398;1.27;134.0;6.82;1.08;0.522;0.0509;1.84;0.138;1.01;59.5;27.5;8.0;27.6;10.7;8.98;3.29;7.28;4.32;0.811;7.83;11.9;0.557;1.11;3.04;2.74;2.77;0.506;9.49;2.04;3.97;0.544;65.4;8.63;10.7;0.917;7.42;0.659;0.947;0.298;1780.0;491.0;0.0876;40.9;-0.27349073;-0.007316841;1684.3384;99.67836;191.62506;8.71607;30.199226;-0.019642757;0.5201739;0.6742139;0.7685018;0.5762091;0.40002602;0.0056064149423888;0.9821663106354624;0.57401735;0.043093238;0.10631656;0.4460051413465571;0.5098201;9.744452102762533
MAR-M 246_0;MAR?MÃ‚Â 246;Ni-based;Al0.11967B0.00081C0.00733Co0.09962Cr0.10162Mo0.01530Ni0.60014Ta0.00487Ti0.01840W0.03193Zr0.00032;Al0.11967B0.00081C0.00733Co0.09962Cr0.10162Mo0.0153Ni0.60013Ta0.00487Ti0.0184W0.03193Zr0.00032;1.34;134.0;7.02;1.16;0.522;0.0524;1.84;0.145;1.22;58.8;27.2;11.0;27.3;10.6;8.8;3.31;7.15;4.38;0.813;7.79;11.9;0.515;1.13;3.11;2.64;2.71;0.539;9.56;2.07;3.95;0.559;65.7;8.83;10.6;0.92;7.39;0.68;0.929;0.303;1760.0;501.0;0.258;40.5;-0.27138388;-0.0071722474;1607.2607;97.376564;182.95175;8.717038;30.373238;-0.34142566;0.5322527;0.68409175;0.77362126;0.54457337;0.3999486;0.0174866042543364;0.9594222353363204;0.5442521;0.045736715;0.11110125;0.5415429207651392;0.66437477;7.407282394276796
PWA 1480_M94_0;PWAÃ‚Â 1480;Ni-based;Al0.11000Co0.05100Cr0.11500Ni0.65100Ta0.04000Ti0.01900W0.01400;Al0.11Co0.051Cr0.115Ni0.651Ta0.04Ti0.019W0.014;1.19;135.0;4.28;1.07;0.926;0.0317;1.82;0.138;0.41;60.9;30.5;7.0;28.2;11.7;9.11;3.44;7.43;4.59;0.816;7.88;12.1;0.756;1.19;3.24;3.16;2.78;0.555;9.45;2.12;4.0;0.571;65.2;8.86;10.6;0.915;7.35;0.569;0.936;0.317;1790.0;491.0;-0.163;41.1;-0.32979488;-0.005628934;1725.0312;92.09864;197.94;8.721107;31.274223;0.49867675;0.46528563;0.53654647;0.7988363;0.5926792;0.39962316;0.0022588324969536;0.5663806166517374;0.6999676;0.007110212;0.056398164;0.3458104346684249;0.26946208;8.05735276510363
PWA 1484_S08_0;PWAÃ‚Â 1484;Ni-based;Al0.12942Co0.10581Cr0.05996Hf0.00035Mo0.01300Ni0.63004Re0.01005Ta0.03102W0.02035;Al0.12942Co0.10581Cr0.05996Hf0.00035Mo0.013Ni0.63004Re0.01005Ta0.03102W0.02035;1.25;134.0;4.32;1.15;0.93;0.0321;1.84;0.132;0.86;62.4;33.0;9.0;28.7;12.7;9.29;3.59;7.74;4.97;0.833;7.94;12.2;0.865;1.26;3.55;3.37;2.75;0.62;9.72;1.89;4.01;0.624;66.4;8.0;10.6;0.856;7.4;0.593;0.932;0.307;1780.0;542.0;0.0726;42.6;-0.29487884;-0.009922383;1764.301;102.17558;188.73936;8.818183;31.71728;-0.42991892;0.5413581;0.6446832;0.8104412;0.6083786;0.39188534;0.0005683405079457;0.5822065438821701;0.5215913;0.022800308;0.09308091;0.4198857265546336;0.7026268;6.718703103150348
Rene 41_D70_0;ReneÃ‚Â 41;Ni-based;Al0.03216C0.00434Co0.10504Cr0.21140Mo0.05849Ni0.55110Ti0.03747;Al0.03216C0.00434Co0.10504Cr0.2114Mo0.05849Ni0.5511Ti0.03747;1.32;136.0;5.67;1.06;0.514;0.0416;1.85;0.151;1.01;57.9;11.7;7.0;27.1;4.98;8.34;2.18;7.15;2.8;0.858;7.77;12.1;0.0;0.643;1.82;0.0;2.95;0.259;8.7;2.11;4.02;0.328;62.0;8.63;10.5;0.924;7.38;0.536;0.914;0.296;1870.0;350.0;-0.334;38.0;-0.23402442;-0.005503487;1594.2489;96.29472;208.36914;8.424173;30.192238;0.8274526;0.46213526;0.7751329;0.7682946;0.5391898;0.42358884;0.1688648545726814;0.9160897956849698;0.7065419;0.11959343;0.16460781;0.5137238611465352;0.16044709;6.254581893462544
RENE 77_0;ReneÃ‚Â 77;Ni-based;Al0.08837B0.00082C0.00323Co0.14114Cr0.15571Mo0.02427Ni0.54798Ti0.03823Zr0.00024;Al0.08837B0.00082C0.00323Co0.14114Cr0.15571Mo0.02427Ni0.54799Ti0.03823Zr0.00024;1.35;135.0;5.65;1.15;0.518;0.0418;1.83;0.142;1.22;55.2;11.4;9.0;25.9;5.14;8.26;2.42;6.59;2.84;0.798;7.68;11.7;0.0;0.703;1.84;0.0;2.75;0.308;9.19;2.15;3.93;0.352;64.1;9.08;10.6;0.866;7.36;0.605;0.894;0.314;1770.0;348.0;-0.108;37.2;-0.25354654;-0.0070549883;1579.2773;92.6287;186.625;8.237593;29.989038;0.009167923;0.49633598;0.7248393;0.762211;0.53298426;0.43884167;0.2280713715273246;0.9210426640916418;0.6310305;0.074005984;0.13287164;0.5555591222402892;0.49541613;5.989432380383133
Rene 80_P22_0;ReneÃ‚Â 80;Ni-based;Al0.06171C0.00810Co0.09311Cr0.15472Mo0.02409Ni0.58463Ti0.06025W0.01289Zr0.00050;Al0.06171C0.0081Co0.09311Cr0.15472Mo0.02409Ni0.58463Ti0.06025W0.01289Zr0.0005;1.35;135.0;6.95;1.15;0.518;0.0514;1.84;0.154;1.22;57.2;18.1;9.0;26.8;7.29;8.48;2.72;6.9;3.38;0.814;7.77;11.9;0.18;0.842;2.26;1.58;2.84;0.34;8.99;2.24;3.97;0.412;63.2;9.33;10.6;0.999;7.39;0.622;0.911;0.328;1810.0;384.0;-0.225;38.5;-0.30469662;-0.002555918;1582.205;100.97591;190.57751;8.35883;30.07119;1.0409364;0.52984166;0.60427713;0.7646837;0.5341986;0.42891562;0.0933383716370981;0.9755688065031424;0.5502259;0.01669187;0.07737106;0.5555591222402892;0.11087122;6.501948979994708
Rene 88 DT_W96_0;ReneÃ‚Â 88Ã‚Â DT;Ni-based;Al0.04525B0.00081C0.00145Co0.12824Cr0.17889Mo0.02424Nb0.00438Ni0.55917Ti0.04494W0.01265;Al0.04525B0.00081C0.00145Co0.12824Cr0.17889Mo0.02424Nb0.00438Ni0.55915Ti0.04494W0.01265;1.36;136.0;4.52;1.07;0.515;0.0333;1.83;0.137;1.01;58.1;17.3;10.0;27.1;6.89;8.56;2.57;7.08;3.18;0.827;7.8;12.1;0.177;0.766;2.05;1.56;2.91;0.31;8.86;2.11;4.0;0.365;62.6;8.67;10.6;0.889;7.39;0.518;0.908;0.308;1840.0;374.0;-0.336;38.5;-0.29992414;-0.0054359604;1644.8492;98.49026;208.38283;8.439327;30.55676;0.7975913;0.47264096;0.6429258;0.7789331;0.5600624;0.42235607;0.0640221054078743;0.6297947411936642;0.6842971;0.019454114;0.09234179;0.5696283140514224;0.16865599;9.58970661794487
Rene 108_R20_0;ReneÃ‚Â 108;Ni-based;Al0.13800B0.00081C0.00341Co0.08782Cr0.12791Hf0.00492Mo0.00275Ni0.58755Ta0.01149Ti0.00917W0.02608Zr0.00008;Al0.138B0.00081C0.00341Co0.08782Cr0.12791Hf0.00492Mo0.00275Ni0.58756Ta0.01149Ti0.00917W0.02608Zr0.00008;1.32;134.0;6.05;1.15;0.521;0.045;1.82;0.142;1.25;58.5;28.5;12.0;27.2;11.1;8.75;3.42;7.01;4.48;0.802;7.75;11.8;0.595;1.17;3.17;2.82;2.66;0.575;9.57;2.12;3.94;0.569;65.8;9.08;10.6;0.893;7.33;0.662;0.915;0.309;1750.0;498.0;0.128;40.2;-0.2828974;-0.004164133;1617.1079;96.301636;183.20021;8.529817;30.103157;-0.2804911;0.5256634;0.650416;0.76564103;0.54864067;0.41501486;0.0233930656639275;0.9809272008929164;0.56054306;0.032805994;0.09552903;0.5137238611465352;0.6366798;6.634088202645758
RENE 125_0;ReneÃ‚Â 125;Ni-based;Al0.10617B0.00083C0.00547Co0.10127Cr0.10215Hf0.00502Mo0.01244Ni0.59991Ta0.01253Ti0.03117W0.02272Zr0.00033;Al0.10617B0.00083C0.00547Co0.10127Cr0.10215Hf0.00502Mo0.01244Ni0.5999Ta0.01253Ti0.03117W0.02272Zr0.00033;1.38;135.0;6.6;1.15;0.52;0.0491;1.83;0.149;1.25;59.5;27.6;12.0;27.6;10.7;8.85;3.29;7.22;4.35;0.815;7.83;12.0;0.564;1.12;3.09;2.75;2.76;0.522;9.41;2.15;3.97;0.552;65.1;9.07;10.6;0.975;7.39;0.642;0.916;0.323;1770.0;474.0;-0.0917;40.6;-0.2716776;-0.005031284;1593.9972;95.10095;187.85223;8.558095;30.227646;-0.29261464;0.506254;0.69794315;0.76934344;0.53908557;0.41272828;0.0129302847664546;0.9974143477042496;0.6076536;0.04536021;0.11812734;0.5978686676144834;0.64226973;6.634088202645758
RENE 220C_0;ReneÃ‚Â 220C;Ni-based;Al0.01108B0.00022C0.00149Co0.12175Cr0.21849Mo0.01994Nb0.03347Ni0.57049Ta0.01057Ti0.01249;Al0.01108B0.00022C0.00149Co0.12175Cr0.21849Mo0.01994Nb0.03347Ni0.5705Ta0.01057Ti0.01249;1.26;137.0;4.2;1.06;0.513;0.0308;1.84;0.133;1.05;59.9;15.8;10.0;27.9;6.19;8.69;2.23;7.54;2.78;0.868;7.85;12.4;0.148;0.7;1.94;1.43;3.04;0.303;8.67;1.96;4.06;0.332;61.8;7.81;10.6;0.867;7.41;0.462;0.942;0.264;1900.0;333.0;-0.569;39.0;-0.25383502;-0.008776933;1662.1312;86.870285;197.32713;8.532927;30.615078;0.6828016;0.44023487;0.71119976;0.7806023;0.5671466;0.41476318;0.0326979376767579;0.5309964124971642;0.74981976;0.073456034;0.12520893;0.4328660706289143;0.20333113;9.681234991766473
Rene N4_R06_0;ReneÃ‚Â N4;Ni-based;Al0.08156Co0.08074Cr0.10295Mo0.01240Nb0.00320Ni0.63439Ta0.01315Ti0.05219W0.01941;Al0.08156Co0.08074Cr0.10295Mo0.0124Nb0.0032Ni0.6344Ta0.01315Ti0.05219W0.01941;1.29;135.0;3.85;1.07;0.924;0.0285;1.83;0.137;0.66;59.5;24.8;9.0;27.7;9.62;8.87;3.1;7.26;4.03;0.818;7.88;12.1;0.456;0.975;2.7;2.48;2.84;0.444;9.23;2.16;4.0;0.477;64.2;8.97;10.6;0.938;7.39;0.532;0.927;0.33;1800.0;443.0;-0.321;39.9;-0.34416455;-0.0073817484;1701.4691;93.51666;196.71344;8.574687;31.238335;0.560048;0.47539538;0.5497369;0.7978734;0.5831656;0.41138834;0.0114248031894956;0.4432552142974852;0.6783166;0.0042063063;0.060012385;0.472720198094007;0.24599348;10.402248784022294
Rene N5_S08_0;ReneÃ‚Â N5;Ni-based;Al0.13896Co0.08209Cr0.08141Hf0.00068Mo0.01261Ni0.63468Re0.00974Ta0.02339W0.01645;Al0.13896Co0.08209Cr0.08141Hf0.00068Mo0.01261Ni0.63467Re0.00974Ta0.02339W0.01645;1.23;134.0;4.41;1.15;0.93;0.0328;1.84;0.133;0.86;60.5;30.5;9.0;28.0;11.8;9.06;3.5;7.44;4.74;0.821;7.85;12.0;0.704;1.2;3.34;3.06;2.7;0.602;9.74;1.93;3.97;0.593;66.5;8.25;10.6;0.832;7.35;0.609;0.934;0.307;1760.0;520.0;0.11;41.4;-0.30230734;-0.007014325;1798.505;97.00846;182.95267;8.737683;31.399714;-0.6822979;0.53023803;0.6307763;0.8021763;0.62187356;0.3982982;0.003232237267762;0.6099676299436935;0.54924476;0.018028492;0.08737478;0.3944372285129094;0.79650563;6.718703103150348
Rene N6_C00_0;ReneÃ‚Â N6;Ni-based;Al0.13794B0.00023C0.00258Co0.13157Cr0.05368Hf0.00052Mo0.00711Ni0.60343Re0.01782Ta0.02571W0.01940;Al0.13794B0.00023C0.00258Co0.13157Cr0.05368Hf0.00052Mo0.00711Ni0.60344Re0.01782Ta0.02571W0.0194;1.3;134.0;5.4;1.16;0.522;0.0403;1.84;0.133;1.25;62.0;33.6;11.0;28.5;13.0;9.27;3.69;7.64;5.08;0.824;7.92;12.1;0.888;1.29;3.62;3.41;2.71;0.64;9.79;1.86;3.99;0.64;66.7;7.98;10.6;0.856;7.41;0.64;0.916;0.315;1760.0;545.0;0.164;42.8;-0.28058863;-0.004515048;1610.6208;98.175156;183.51654;8.708423;31.248148;-0.7569668;0.53496623;0.6432412;0.79813707;0.5459619;0.40063798;0.0006671336361832;0.880856065619401;0.53751385;0.035114247;0.092474066;0.4862752138942231;0.81964344;6.71870310315035
CM247 LC_M21_0;CMÃ‚Â 247Ã‚Â LC;Ni-based;Al0.11942B0.00083C0.00348Co0.09416Cr0.09410Hf0.00468Mo0.00311Ni0.63135Ta0.01022Ti0.00873W0.02986Zr0.00008;Al0.11942B0.00083C0.00348Co0.09416Cr0.0941Hf0.00468Mo0.00311Ni0.63133Ta0.01022Ti0.00873W0.02986Zr0.00008;1.25;134.0;5.83;1.15;0.521;0.0434;1.83;0.136;1.25;59.7;28.7;12.0;27.7;11.2;9.03;3.34;7.3;4.44;0.808;7.83;11.9;0.627;1.15;3.16;2.89;2.72;0.549;9.64;1.97;3.96;0.564;66.0;8.38;10.6;0.875;7.39;0.631;0.942;0.3;1760.0;491.0;0.124;40.9;-0.262353;-0.0053196177;1622.0447;97.17601;182.92566;8.736628;30.36291;-0.42562342;0.53123224;0.66618377;0.77331966;0.55067736;0.39838248;0.0039866784175994;0.9557342171297408;0.5467822;0.058653556;0.10256156;0.4198857265546336;0.7008286;6.634088202645758
CM 186LC_0;CMÃ‚Â 186Ã‚Â LC;Ni-based;Al0.12696B0.00083C0.00350Co0.09178Cr0.06935Hf0.00471Mo0.00313Ni0.64510Re0.00968Ta0.00996Ti0.00879W0.02615Zr0.00003;Al0.12696B0.00083C0.0035Co0.09178Cr0.06935Hf0.00471Mo0.00313Ni0.64513Re0.00968Ta0.00996Ti0.00879W0.02615Zr0.00003;1.25;134.0;5.82;1.16;0.522;0.0434;1.84;0.135;1.25;60.3;30.4;13.0;27.9;11.8;9.15;3.48;7.42;4.68;0.811;7.86;11.9;0.707;1.2;3.32;3.07;2.71;0.582;9.75;1.91;3.97;0.59;66.5;8.15;10.7;0.87;7.4;0.637;0.941;0.311;1750.0;505.0;0.0978;41.6;-0.250469;-0.001977548;1610.4927;96.710815;181.75995;8.607052;30.496546;-0.34528738;0.5320799;0.69282264;0.7772002;0.5459089;0.40877852;0.0016826482338685;0.9557342171297408;0.54468083;0.08008199;0.11548621;0.4198857265546336;0.6660947;5.739705084819102
